Property Name,Property Cost,Property Type,Property Area,Property Locality
Sahu Kalpana Residency,₹ 31.5 L,2 BHKVilla,(92.9 sq.m.),Naveen Public High SchoolNew Public CollegeSanjivni HospitalKashish Family RestaurantHotel Blue Orchid Resort
Arsh City,₹ 8 - 60 L,Land,(74.32 - 557.42 sq.m.),Jaipuria SchoolPara Police StationAmausi AirportCharbagh Railway StationAgra Expressway
Parijaat Residency,₹ 6.99 - 8.4 L,Land,(92.9 - 111.67 sq.m.),Sagar CollegeNew Barabanki Interstate Bus StandBarabanki TehsilSafedabadOuter Ring Road Kisan Path
Grah Paradise Phase 1,₹ 34 - 42 L,2 BHKVilla,(97.55 - 116.13 sq.m.),Faizabad Highway (NH 28)Shalimar ParadiseShalimar MannatRam Swaroop CollegeRam Swaroop College
Silicon Green City,₹ 8.79 - 32.97 L,Land,(74.32 - 278.71 sq.m.),Anurag Shopping CenterMohan MedicosHimcity Montessori SchoolAllahabad Public SchoolBank Of Baroda
Shalimar One World Valencia Towers,₹ 1.74 - 2.84 Cr,4 BHKApartment,(215.95 sq.m.),International Cricket STadiumIT CityMedanta Super Specialty Hospital HInternational AirportVibhuti Khand
Green Park City,₹ 9.59 - 47.96 L,Land,(74.32 - 371.61 sq.m.),R L B Memorial SchoolMaruti Nandan Montessori CollegeLaxmi HospitalPurvanchal ExpresswayEkana Sports City
Ratan Galaxy,₹ 74.41 L,2 BHKApartment,(120.22 sq.m.),Sector 12A ParkRadhey Shyam IASBraeburn PreschoolScope HospitalVrindavan Inn
ORO Constella,₹ 1.2 - 1.39 Cr,3 BHKApartment,(112.36 - 125.58 sq.m.),ZOE Desired LifeCity Montessori School LucknowNH 27Amrut HospitalChaudhary Charan Singh Airport
Unitevision Vatican City,₹ 4.79 - 10.78 L,Land,(74.32 - 167.23 sq.m.),Sainik DhabaSuper MarketShree Radhaey HospitalGosainganjAmethi bazaar
Krishna Tower,₹ 36.7 - 41.7 L,2 BHKApartment,(110.0 - 125.0 sq.m.),GardenSPT Public SchoolAwasthi MartVibha HospitalUCO Bank ATM
Kalyan Garden View,₹ 65 - 65.76 L,2 BHKApartment,(110.0 - 111.48 sq.m.),N/A
NDBG Green Nest Avenue,₹ 18.39 - 57.25 L,Land,(74.32 - 231.33 sq.m.),Bimla International Public SchoolModern College Of EducationG Max HospitalAman ShopNH 27
RJP Villas,₹ 50 - 58.75 L,2 BHKVilla,(92.9 - 109.16 sq.m.),N/A
Pardos Okas Residency,₹ 59.63 - 77.17 L,2 BHKApartment,(107.76 - 135.27 sq.m.),Bakas Railway StationHCL IT ParkGolf CourseSuper Speciality Cancer HospitalKunskapsskolan School
Dream Galaxy,₹ 30.88 L,1 BHKApartment,(67.82 sq.m.),N/A
Urbanaid Taj Enclave,Price on Request,1 BHKVilla,(55.74 sq.m.),Primary SchoolLucknow- Agra ExpresswayAxis BankGhurghuri Talaab ChaurahaBharat Petroleum
